Observation,Region,Quarter,Year,Team_name,Elo
12,LCS,Spring,2016,Echo Fox,2697.7075346495085
12,LCS,Spring,2016,Clutch Gaming,
12,LCS,Spring,2016,Renegades,2700.0
12,LCS,Spring,2016,Team Impulse,2684.584930700983
12,LCS,Spring,2016,Counter Logic Gaming,2697.7075346495085
12,LCS,Spring,2016,100 Thieves,
12,LCS,Spring,2016,Team SoloMid,2682.1621375799177
12,LCS,Spring,2016,Phoenix1,
12,LCS,Spring,2016,EnVyUs,
12,LCS,Spring,2016,Immortals,2755.5453970695908
12,LCS,Spring,2016,NRG Esports,2740.0
12,LCS,Spring,2016,Dignitas,2702.2924653504915
12,LCS,Spring,2016,FlyQuest,
13,LCS,Spring,2016,Immortals,2755.5453970695908
13,LCS,Spring,2016,Cloud9,2680.0
13,LCS,Spring,2016,Phoenix1,
13,LCS,Spring,2016,Flyquest,
13,LCS,Spring,2016,Echo Fox,2697.7075346495085
13,LCS,Spring,2016,Renegades,2700.0
13,LCS,Spring,2016,OpTic Gaming,
13,LCS,Spring,2016,100 Thieves,
13,LCS,Spring,2016,NRG Esports,2740.0
13,LCS,Spring,2016,EnVyUs,
13,LCS,Spring,2016,Dignitas,2702.2924653504915
13,LCS,Spring,2016,Team SoloMid,2682.1621375799177
13,LCS,Spring,2016,FlyQuest,
13,LCS,Spring,2016,Clutch Gaming,
13,LCS,Spring,2016,Golden Guardians,
13,LCS,Spring,2016,Apex,
13,LCS,Spring,2016,Team Liquid,2642.1621375799177
13,LCS,Spring,2016,Team Impulse,2684.584930700983
13,LCS,Spring,2016,Counter Logic Gaming,2715.5453970695908
14,LCS,Spring,2016,Flyquest,
14,LCS,Spring,2016,Team SoloMid,2682.1621375799177
14,LCS,Spring,2016,Phoenix1,
14,LCS,Spring,2016,Apex,
14,LCS,Spring,2016,FlyQuest,
14,LCS,Spring,2016,Team Liquid,2642.1621375799177
14,LCS,Spring,2016,Echo Fox,2697.7075346495085
14,LCS,Spring,2016,100 Thieves,
14,LCS,Spring,2016,Cloud9,2680.0
14,LCS,Spring,2016,NRG Esports,2740.0
14,LCS,Spring,2016,Dignitas,2722.160502352014
14,LCS,Spring,2016,Clutch Gaming,
14,LCS,Spring,2016,Golden Guardians,
14,LCS,Spring,2016,Immortals,2755.5453970695908
14,LCS,Spring,2016,Counter Logic Gaming,2715.5453970695908
14,LCS,Spring,2016,Team Impulse,2684.584930700983
14,LCS,Spring,2016,Renegades,2680.1319629984773
14,LCS,Spring,2016,OpTic Gaming,
14,LCS,Spring,2016,EnVyUs,
15,LCS,Spring,2016,Renegades,2680.1319629984773
15,LCS,Spring,2016,Golden Guardians,
15,LCS,Spring,2016,Immortals,2755.5453970695908
15,LCS,Spring,2016,OpTic Gaming,
15,LCS,Spring,2016,Clutch Gaming,
15,LCS,Spring,2016,Team SoloMid,2704.4545100358177
15,LCS,Spring,2016,Apex,
15,LCS,Spring,2016,Dignitas,2699.868129896114
15,LCS,Spring,2016,Echo Fox,2697.7075346495085
